Case_127,Pass,,,,louis,,2022-10-12T18:07:41Z
Case_27,Pass,,,,louis,,2022-10-12T18:16:51Z
Case_104,Fail,,,,louis,X-Rot (LR); Orbitofrontal/Eyes,2022-10-12T17:57:51Z
Case_20,Fail,,,,louis,Z-Scale (IS); Big,2022-10-12T18:15:35Z
Case_95,Pass,,,,louis,,2022-10-12T18:31:31Z
Case_103,Fail,,,,louis,X-Scale (LR); Small,2022-10-12T17:57:34Z
Case_107,Pass,,,,louis,,2022-10-12T17:59:10Z
Case_90,Pass,,,,louis,,2022-10-12T18:30:59Z
Case_71,Pass,,,,louis,X-Scale (LR); Small,2022-10-12T18:28:03Z
Case_105,Pass,,,,louis,Z-Scale (IS); Big,2022-10-12T17:58:38Z
Case_112,Pass,,,,louis,,2022-10-12T18:00:38Z
Case_2,Fail,,,,louis,Y-Scale (AP); Small; Occipital. Z-Scale (IS); Small,2022-10-12T18:15:29Z
Case_30,Fail,,,,louis,Z-Scale (IS); Small,2022-10-12T18:17:21Z
Case_110,Pass,,,,louis,,2022-10-12T17:59:49Z
Case_36,Pass,,,,louis,,2022-10-12T18:19:05Z
Case_114,Fail,,,,louis,Y-Scale (AP); Small; Occipital. Z-Scale (IS); Small,2022-10-12T18:01:15Z
Case_23,Fail,,,,louis,X-Rot (LR); Orbitofrontal/Eyes,2022-10-12T18:16:08Z
Case_55,Fail,,,,louis,Z-Scale (IS); Small,2022-10-12T18:23:11Z
Case_108,Fail,,,,louis,Z-Scale (IS); Big,2022-10-12T17:59:29Z
Case_39,Fail,,,,louis,Z-Scale (IS); Big,2022-10-12T18:19:46Z
Case_150,Fail,,,,louis,X-Rot (LR); Orbitofrontal/Eyes. Y-Scale (AP); Small; Occipital,2022-10-12T18:14:49Z
Case_54,Fail,,,,louis,X-Rot (LR); Orbitofrontal/Eyes,2022-10-12T18:23:01Z
Case_143,Fail,,,,louis,Z-Scale (IS); Small,2022-10-12T18:14:05Z
