Case_16,Rater01,Fail,ringing artifact,2022-02-01T21:02:11Z
Case_17,Rater01,Pass,"",2022-02-01T21:02:38Z
Case_18,Rater01,Pass,"",2022-02-01T21:02:57Z
Case_19,Rater01,Pass,"",2022-02-01T21:03:15Z
Case_2,Rater01,Pass,"",2022-02-01T21:03:28Z
Case_24,Rater01,Fail,"",2022-02-01T21:07:27Z
Case_28,Rater01,Fail,Incomplete AP coverage,2022-02-01T21:10:05Z
Case_30,Rater01,Pass,"",2022-02-01T21:12:51Z
Case_32,Rater01,Pass,"",2022-02-01T21:24:23Z
Case_33,Rater01,Fail,AP coverage; low dynamic range,2022-02-01T21:24:49Z
Case_37,Rater01,Pass,low GM/WM contrast,2022-02-01T21:27:00Z
Case_38,Rater01,Pass,"",2022-02-01T21:27:13Z
Case_39,Rater01,Pass,"",2022-02-01T21:27:38Z
Case_4,Rater01,Fail,incomplete AP coverage,2022-02-01T21:27:59Z
Case_40,Rater01,Pass,"",2022-02-01T21:28:11Z
Case_42,Rater01,Pass,"",2022-02-01T21:29:09Z
Case_49,Rater01,Pass,Tight FOV,2022-02-01T21:39:01Z
Case_5,Rater01,Pass,Tight FOV,2022-02-01T21:39:51Z
Case_50,Rater01,Pass,"",2022-02-01T21:40:12Z
Case_53,Rater01,Fail,Cerebellum cut,2022-02-01T21:41:32Z
Case_54,Rater01,Fail,Ring artifacts,2022-02-01T21:41:57Z
Case_55,Rater01,Pass,Slight noise?,2022-02-01T21:42:20Z
Case_59,Rater01,Fail,"Noise, ring artifacts",2022-02-01T21:43:40Z
Case_63,Rater01,Fail,Motion artifacts; cerebellum cut?,2022-02-01T21:46:42Z
Case_64,Rater01,Pass,"Bright scalp, big ventricles",2022-02-01T21:46:59Z
Case_65,Rater01,Fail,No data,2022-02-01T21:47:06Z
Case_69,Rater01,Fail,Incomplete AP coverage,2022-02-01T21:48:53Z
Case_7,Rater01,Fail,Ring artifacts; incomplete inf/sup coverage,2022-02-01T21:49:43Z
Case_70,Rater01,Pass,Huge ventricles,2022-02-01T21:49:59Z
Case_71,Rater01,Pass,Bright spots,2022-02-01T21:50:37Z
Case_72,Rater01,Pass,"",2022-02-01T21:50:48Z
Case_74,Rater01,Fail,No data,2022-02-01T21:51:07Z
Case_75,Rater01,Pass,"",2022-02-01T21:51:16Z
Case_78,Rater01,Pass,low WM/GM contrast,2022-02-01T21:52:22Z
Case_79,Rater01,Fail,Signal drop-off left inferior portion,2022-02-01T21:53:10Z
Case_80,Rater01,Fail,Incomplete coverage (Inf/Sup),2022-02-01T21:53:54Z
Case_81,Rater01,Pass,Tight FOV; wrap-around; brain intact,2022-02-01T21:54:19Z
Case_86,Rater01,Pass,"",2022-02-01T21:57:15Z
Case_87,Rater01,Pass,"",2022-02-01T21:57:24Z
Case_93,Rater01,Pass,"",2022-02-01T22:00:05Z
Case_94,Rater01,Fail,Motion artifacts,2022-02-01T22:00:18Z
Case_98,Rater01,Fail,Incomplete coverage (cerebellum cut),2022-02-01T22:01:45Z
Case_99,Rater01,Pass,Tight AP fit,2022-02-01T22:02:00Z
Case_12,Rater01,Pass,Low intensity,2022-02-01T22:58:23Z
Case_13,Rater01,Pass,Tight AP coverage,2022-02-01T22:58:37Z
Case_20,Rater01,Pass,Reduced dynamic range due to bright nose,2022-02-01T22:59:45Z
Case_25,Rater01,Pass,Tight AP fit (cut scalp),2022-02-01T23:00:07Z
Case_26,Rater01,Pass,low WM/GM contrast; Tight AP fit,2022-02-01T23:00:24Z
Case_29,Rater01,Pass,Barely covering cerebellum,2022-02-01T23:00:53Z
Case_31,Rater01,Pass,Tight AP fit (scalp cut off),2022-02-01T23:02:10Z
Case_36,Rater01,Pass,Tight superior coverage,2022-02-01T23:02:57Z
Case_46,Rater01,Pass,Posterior scalp cut,2022-02-01T23:03:28Z
Case_47,Rater01,Pass,Superior scalp cut off,2022-02-01T23:03:40Z
Case_51,Rater01,Fail,slight intensity non-uniformity; incomplete cerebellum coverage?,2022-02-01T23:04:47Z
Case_58,Rater01,Pass,"Bright nose, low dynamic range; tight inferior fit",2022-02-01T23:05:25Z
Case_60,Rater01,Pass,Low dynamic range due to bright nose; tight inferior fit,2022-02-01T23:05:46Z
